Unix,Hour,Date,Grid_Num,Longitude,Latitude
1577892349,10,1/1/2020,60,-85.310643,35.007383
1577936668,22,1/1/2020,63,-85.290968,35.001516
1577936713,22,1/1/2020,63,-85.290968,35.001516
1577936713,22,1/1/2020,63,-85.290968,35.001516
1577914507,16,1/1/2020,109,-85.203262,35.007414
1577903111,13,1/1/2020,142,-85.257398,35.021849
1577939636,23,1/1/2020,142,-85.258224,35.020356
1577860246,1,1/1/2020,145,-85.235226,35.015785
1577866798,3,1/1/2020,212,-85.308235,35.034391
1577866778,3,1/1/2020,212,-85.307644,35.036004
1577866903,3,1/1/2020,212,-85.307644,35.036004
1577866903,3,1/1/2020,212,-85.307644,35.036004
1577885431,8,1/1/2020,229,-85.183937,35.037324
1577924234,19,1/1/2020,262,-85.187615,35.045502
1577915262,16,1/1/2020,266,-85.155778,35.040321
1577921529,18,1/1/2020,267,-85.156295,35.046625
1577898637,12,1/1/2020,281,-85.310162,35.053656
1577919156,17,1/1/2020,282,-85.30963,35.052211
1577920273,18,1/1/2020,304,-85.147887,35.052925
1577940375,23,1/1/2020,331,-85.206604,35.057568
1577940405,23,1/1/2020,332,-85.198864,35.066104
1577940405,23,1/1/2020,332,-85.198864,35.066104
1577916893,17,1/1/2020,393,-85.30142,35.07758
1577891866,10,1/1/2020,459,-85.07046,35.08714
1577891916,10,1/1/2020,459,-85.071085,35.086764
1577891916,10,1/1/2020,459,-85.07046,35.08714
1577891916,10,1/1/2020,459,-85.07046,35.08714
1577857097,0,1/1/2020,503,-85.282598,35.105795
1577884067,8,1/1/2020,532,-85.321604,35.110778
1577915297,16,1/1/2020,549,-85.163809,35.116782
1577915291,16,1/1/2020,549,-85.163809,35.116782
1577919952,18,1/1/2020,549,-85.164076,35.117088
1577916732,17,1/1/2020,576,-85.121616,35.122999
1577903347,13,1/1/2020,605,-85.247194,35.138778
1577903790,13,1/1/2020,605,-85.247194,35.138778
1577903790,13,1/1/2020,605,-85.247194,35.138778
1577912467,16,1/1/2020,605,-85.244585,35.136064
1577996812,15,1/2/2020,30,-85.390058,34.995454
1578003524,17,1/2/2020,41,-85.290403,34.994867
1577983719,11,1/2/2020,64,-85.281442,35.005544
1577983719,11,1/2/2020,64,-85.281442,35.005544
1577983692,11,1/2/2020,64,-85.281442,35.005544
1577983549,11,1/2/2020,64,-85.281564,35.005304
1577994920,14,1/2/2020,65,-85.273287,34.998151
1577994540,14,1/2/2020,68,-85.227148,35.005132
1577991544,13,1/2/2020,85,-85.385899,35.016395
1577991544,13,1/2/2020,85,-85.385899,35.016395
1577991487,13,1/2/2020,85,-85.385899,35.016395
1578021279,22,1/2/2020,93,-85.328307,35.013733
1577988153,13,1/2/2020,93,-85.328461,35.010378
1577998715,15,1/2/2020,101,-85.26938,35.016904
1577993671,14,1/2/2020,101,-85.26894,35.016958
1578006021,18,1/2/2020,102,-85.252059,35.014516
1577993153,14,1/2/2020,106,-85.226983,35.0124
1577993153,14,1/2/2020,106,-85.226983,35.0124
1577993068,14,1/2/2020,106,-85.227338,35.012538
1577993068,14,1/2/2020,106,-85.227338,35.012538
1577993060,14,1/2/2020,106,-85.226983,35.0124
1577993036,14,1/2/2020,106,-85.227338,35.012538
1578020633,22,1/2/2020,107,-85.220213,35.009919
1578000645,16,1/2/2020,109,-85.200274,35.008246
1578025467,23,1/2/2020,112,-85.181912,35.016889
1577972882,8,1/2/2020,139,-85.273333,35.017501
1577993585,14,1/2/2020,140,-85.268996,35.022993
1578004750,17,1/2/2020,144,-85.242385,35.022191
1578003602,17,1/2/2020,151,-85.18896,35.019181
1577998271,15,1/2/2020,168,-85.364611,35.026282
1577974062,9,1/2/2020,174,-85.313613,35.027795
1578001163,16,1/2/2020,175,-85.310189,35.026626
1578008018,18,1/2/2020,183,-85.245882,35.025185
1578006832,18,1/2/2020,183,-85.246419,35.023643
1578005354,17,1/2/2020,192,-85.183996,35.03064
1577994299,14,1/2/2020,192,-85.1819,35.031302
1577997663,15,1/2/2020,200,-85.122343,35.03109
1578016440,20,1/2/2020,212,-85.308331,35.030162
1578014324,20,1/2/2020,212,-85.308331,35.030162
1577996452,15,1/2/2020,227,-85.197073,35.037454
1577999757,16,1/2/2020,231,-85.163861,35.035266
1578000337,16,1/2/2020,232,-85.158706,35.034528
1578011149,19,1/2/2020,246,-85.305288,35.044821
1578003509,17,1/2/2020,246,-85.302106,35.043222
1577997631,15,1/2/2020,282,-85.306529,35.053585
1577968865,7,1/2/2020,298,-85.189339,35.054079
1578005586,17,1/2/2020,302,-85.158404,35.047421
1577987128,12,1/2/2020,303,-85.149942,35.05224
1578008551,18,1/2/2020,341,-85.131662,35.059495
1578008525,18,1/2/2020,341,-85.131659,35.059496
1578008525,18,1/2/2020,341,-85.131659,35.059496
1578008463,18,1/2/2020,341,-85.131539,35.059567
1577978809,10,1/2/2020,373,-85.176412,35.069285
1577993626,14,1/2/2020,407,-85.195944,35.084423
1578004714,17,1/2/2020,408,-85.187047,35.079614
1578010115,19,1/2/2020,410,-85.171235,35.073087
1577983811,11,1/2/2020,430,-85.3177,35.08413
1578003168,17,1/2/2020,447,-85.191917,35.086219
1577990075,13,1/2/2020,451,-85.157485,35.083387
1578016491,20,1/2/2020,477,-85.225106,35.094661
1577979790,10,1/2/2020,486,-85.159806,35.094968
1578010176,19,1/2/2020,501,-85.313248,35.104584
1578003937,17,1/2/2020,505,-85.27098,35.10998
1577967336,7,1/2/2020,509,-85.240821,35.108072
1578009990,19,1/2/2020,534,-85.307896,35.1105
1577994119,14,1/2/2020,539,-85.261004,35.114607
1577993376,14,1/2/2020,563,-85.263069,35.116283
1578016486,20,1/2/2020,567,-85.233435,35.117108
1578024476,23,1/2/2020,586,-85.244244,35.130609
1578021468,22,1/2/2020,627,-85.234354,35.143564
1578006517,18,1/2/2020,628,-85.223574,35.145398
1578094337,18,1/3/2020,20,-85.273628,34.987189
1578087847,16,1/3/2020,81,-85.132694,35.00037
1578092881,18,1/3/2020,98,-85.292582,35.005752
1578092881,18,1/3/2020,98,-85.292582,35.005752
1578092770,18,1/3/2020,98,-85.292582,35.005752
1578094408,18,1/3/2020,101,-85.267746,35.010209
1578094377,18,1/3/2020,101,-85.267746,35.010209
1578093718,18,1/3/2020,102,-85.252059,35.014516
1578093718,18,1/3/2020,102,-85.252059,35.014516
1578093665,18,1/3/2020,102,-85.252059,35.014516
1578091762,17,1/3/2020,102,-85.254192,35.015818
1578087223,16,1/3/2020,104,-85.237709,35.008661
1578087422,16,1/3/2020,112,-85.182854,35.013587
1578085528,16,1/3/2020,112,-85.181912,35.016889
1578061401,9,1/3/2020,112,-85.182589,35.016819
1578061279,9,1/3/2020,112,-85.181912,35.016889
1578091511,17,1/3/2020,127,-85.365756,35.020313
1578036247,2,1/3/2020,137,-85.293499,35.015093
1578097126,19,1/3/2020,139,-85.276601,35.017328
1578094487,18,1/3/2020,139,-85.28069,35.016491
1578094269,18,1/3/2020,139,-85.28069,35.016491
1578088563,16,1/3/2020,140,-85.267956,35.018098
1578091772,17,1/3/2020,141,-85.259012,35.019636
1578089948,17,1/3/2020,141,-85.259012,35.019636
1578084610,15,1/3/2020,149,-85.205773,35.017752
1578078560,14,1/3/2020,149,-85.205773,35.017752
1578085368,16,1/3/2020,150,-85.19826,35.02244
1578099152,19,1/3/2020,151,-85.189464,35.018333
